shopify_product_id,handle,status,sku,title
"gid://shopify/Product/15427461677388","smartwatch-ksix-core-2-rosa-amoled-143-bluetooth","ACTIVE","BXSW24R","Smartwatch - KSIX Core 2, Rosa, AMOLED, 1.43"", Bluetooth"
"gid://shopify/Product/15427461710156","smartwatch-ksix-explorer-negro-gps-amoled-143","ACTIVE","BXSW26N","Smartwatch - KSIX Explorer, Negro,  GPS, AMOLED 1,43"""
"gid://shopify/Product/15427461775692","smartwatch-ksix-venture-negro-xxl-185-55-mm","ACTIVE","BXSW27N","Smartwatch - KSIX Venture, Negro, XXL, 1.85"", 55 mm"
"gid://shopify/Product/15427461873996","smartwatch-ksix-iria-negro-17-2-correas-metal-ip68-amoled","ACTIVE","BXSW30N","Smartwatch - KSIX IRIA, Negro, 1.7"", 2 Correas Metal, IP68, AMOLED"
"gid://shopify/Product/15427461906764","smartwatch-ksix-iria-rosa-17-2-correas-metal-ip67-bluetooth","ACTIVE","BXSW30R","Smartwatch - KSIX IRIA, Rosa, 1.7"", 2 Correas Metal, IP67, Bluetooth"
"gid://shopify/Product/15427462070604","reproductor-cd-onkyo-c7030m3-negro-mp3","ACTIVE","C7030M3BMMP","Reproductor CD - ONKYO C7030M3, Negro, MP3"
"gid://shopify/Product/15427463151948","lavadora-libre-instalacion-aeg-lfr7314l4v-blanco-10-kg-1400-rpm-eficiencia-a","ACTIVE","8914505105","Lavadora Libre Instalación - AEG LFR7314L4V, Blanco, 10 kg, 1400 rpm, Eficiencia A"
"gid://shopify/Product/15427463315788","lavadora-libre-instalacion-aeg-lfsr7304l4bp-blanco-11-kg-1400-rpm-eficiencia-a","ACTIVE","8914505221","Lavadora Libre Instalación - AEG LFSR7304L4BP, Blanco, 11 kg, 1400 rpm, Eficiencia A"
"gid://shopify/Product/15427463414092","lavadora-libre-instalacion-aeg-lfa5i82re-blanco-8-kg-1200-rpm-eficiencia-a","ACTIVE","8914912582","Lavadora Libre Instalación - AEG LFA5I82RE, Blanco, 8 kg, 1200 rpm, Eficiencia A"
"gid://shopify/Product/15427463512396","lavadora-carga-frontal-aeg-lfr7394o4v-blanco-9-kg-1400-rpm-eficiencia-a","ACTIVE","8914921934","Lavadora Carga Frontal - AEG LFR7394O4V, Blanco, 9 kg, 1400 rpm, Eficiencia A"
"gid://shopify/Product/15427463577932","placa-flexinduccion-aeg-tn63ia00fb-3-zonas-60-cm-negra","ACTIVE","8949493016","Placa Flexinducción - AEG TN63IA00FB, 3 Zonas, 60 cm, Negra"
"gid://shopify/Product/15427463709004","estimulador-satisfyer-pro-3","ACTIVE","9016532","Estimulador - Satisfyer PRO 3+"
"gid://shopify/Product/15427465052492","secadora-con-bomba-calor-electrolux-edi618y5bo-blanco-carga-8-kg-eficiencia-a","ACTIVE","916099892","Secadora con Bomba Calor - ELECTROLUX EDI618Y5BO, Blanco, Carga 8 Kg, Eficiencia A++"
